Input	Output
mckn right after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_MCKN
iasi opposite right thrice and turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_IASI I_TURN_RIGHT I_TURN_RIGHT I_IASI I_TURN_RIGHT I_TURN_RIGHT I_IASI I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
izcb thrice and turn opposite right	I_IZCB I_IZCB I_IZCB I_TURN_RIGHT I_TURN_RIGHT
xlie right after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_XLIE
gmha right after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_GMHA
run around right after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN
dpan around left twice and dpan right thrice	I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN I_TURN_RIGHT I_DPAN
vlbo opposite left twice and vlbo around left	I_TURN_LEFT I_TURN_LEFT I_VLBO I_TURN_LEFT I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO I_TURN_LEFT I_VLBO
cgbo around left thrice	I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO I_TURN_LEFT I_CGBO
qqiu around right twice after qqiu around right twice	I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU
diag left twice after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG
dxpw opposite right thrice and qlcv opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_DXPW I_TURN_RIGHT I_TURN_RIGHT I_DXPW I_TURN_RIGHT I_TURN_RIGHT I_DXPW I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV
turn right twice and jpxb left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_JPXB
turn right thrice after aowu right thrice	I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite right thrice after xrym around left twice	I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
dxpw opposite left after qlcv right twice	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_LEFT I_TURN_LEFT I_DXPW
hklu right and turn right twice	I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_TURN_RIGHT
zwjm left and zwjm opposite left	I_TURN_LEFT I_ZWJM I_TURN_LEFT I_TURN_LEFT I_ZWJM
wpkt left after qlcv opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_LEFT I_WPKT
turn around right and turn opposite left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
uajp around right thrice after turn around left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP
dpjs around left thrice after xlgm around right thrice	I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS
zhkg opposite left thrice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_ZHKG I_TURN_LEFT I_TURN_LEFT I_ZHKG I_TURN_LEFT I_TURN_LEFT I_ZHKG
cufv right and cufv right	I_TURN_RIGHT I_CUFV I_TURN_RIGHT I_CUFV
lfka right twice and rksp opposite right thrice	I_TURN_RIGHT I_LFKA I_TURN_RIGHT I_LFKA I_TURN_RIGHT I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_TURN_RIGHT I_RKSP
cufv around left after cufv thrice	I_CUFV I_CUFV I_CUFV I_TURN_LEFT I_CUFV I_TURN_LEFT I_CUFV I_TURN_LEFT I_CUFV I_TURN_LEFT I_CUFV
qrwp opposite right thrice and yqvi right twice	I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI
turn left thrice and nawm opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_NAWM
vbcx left after vbcx left thrice	I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX
yvbl thrice after yvbl around left thrice	I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_YVBL I_YVBL I_YVBL
tyuv opposite left twice after turn right	I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TYUV I_TURN_LEFT I_TURN_LEFT I_TYUV
ybgz	I_YBGZ
dpnk around right thrice after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK
turn around left twice after turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn right after qnsr right thrice	I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_RIGHT
zhkg left and turn around left	I_TURN_LEFT I_ZHKG I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
wjdv right and turn left	I_TURN_RIGHT I_WJDV I_TURN_LEFT
turn right twice and tyuv opposite left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TYUV I_TURN_LEFT I_TURN_LEFT I_TYUV I_TURN_LEFT I_TURN_LEFT I_TYUV
turn left after rqli left twice	I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT
dpan left twice after vbcx around left	I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_VBCX I_TURN_LEFT I_DPAN I_TURN_LEFT I_DPAN
asap opposite left twice and zbxv around right thrice	I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_LEFT I_TURN_LEFT I_ASAP I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV
turn around right after tece around left	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
iugo opposite right twice and nvnj around left thrice	I_TURN_RIGHT I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_TURN_RIGHT I_IUGO I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
mxay around right thrice after mxay around right thrice	I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_MXAY
turn right twice after nawm left thrice	I_TURN_LEFT I_NAWM I_TURN_LEFT I_NAWM I_TURN_LEFT I_NAWM I_TURN_RIGHT I_TURN_RIGHT
jpxb opposite right after diag around left twice	I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_LEFT I_DIAG I_TURN_RIGHT I_TURN_RIGHT I_JPXB
turn right and pvrq around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ
turn left twice and equr opposite right thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_TURN_RIGHT I_EQUR I_TURN_RIGHT I_TURN_RIGHT I_EQUR
knfs left after knfs twice	I_KNFS I_KNFS I_TURN_LEFT I_KNFS
eegp opposite left twice and iugo around right twice	I_TURN_LEFT I_TURN_LEFT I_EEGP I_TURN_LEFT I_TURN_LEFT I_EEGP I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO
jduf right thrice and dpjs opposite left	I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_RIGHT I_JDUF I_TURN_LEFT I_TURN_LEFT I_DPJS
gmha and gmha around left	I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA
turn around right twice after mlbs right thrice	I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
tpdt right thrice after tpdt right twice	I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT
mgai right thrice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI
vosv left after vosv left thrice	I_TURN_LEFT I_VOSV I_TURN_LEFT I_VOSV I_TURN_LEFT I_VOSV I_TURN_LEFT I_VOSV
reqk opposite left after reqk around right thrice	I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_LEFT I_TURN_LEFT I_REQK
wjdv after wjdv around right thrice	I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_WJDV
